date,open,high,low,close,volume
16-01-2019,44.7851,45.2118,44.6283,45.0163,583196
17-01-2019,44.7604,45.6273,44.7356,45.4952,731723
18-01-2019,45.8998,46.065,45.5613,45.6108,708867
22-01-2019,45.3796,45.6273,45.1815,45.6191,701507
23-01-2019,45.7182,45.7842,45.1732,45.3879,786726
24-01-2019,45.3631,45.5283,45.1072,45.4539,591955
25-01-2019,45.8668,45.9824,45.6191,45.9246,550088
28-01-2019,45.5613,45.9741,45.5448,45.9741,421472
29-01-2019,45.9659,46.42,45.9659,46.3044,544016
30-01-2019,46.5934,46.998,46.4613,46.7833,489950
31-01-2019,46.6925,47.064,46.6512,47.0145,906726
01-02-2019,47.0558,47.064,46.5769,46.5769,626934
04-02-2019,46.6347,46.8246,46.453,46.775,549697
05-02-2019,46.7916,46.8989,46.4861,46.8824,499457
06-02-2019,46.742,46.9815,46.6347,46.6925,588649
07-02-2019,46.4861,46.5604,46.1558,46.4448,564982
08-02-2019,46.3787,46.5521,45.9328,46.3457,589292
11-02-2019,46.42,46.4613,45.9948,46.2218,878806
12-02-2019,46.5438,46.6264,46.4283,46.5273,779370
13-02-2019,46.6264,46.7255,46.4448,46.4778,444915
14-02-2019,46.2053,46.2796,45.8338,46.1888,1102778
15-02-2019,46.4035,46.7255,46.3374,46.6264,981677
19-02-2019,46.4778,46.8535,46.3127,46.775,1015840
20-02-2019,46.8494,47.5347,46.8246,47.4026,642844
21-02-2019,47.2787,47.4521,47.031,47.1466,631723
22-02-2019,47.2539,47.3943,47.1383,47.353,511433
25-02-2019,47.4851,47.576,47.1879,47.2127,959840
26-02-2019,45.8172,46.1805,45.4705,45.8338,1431737
27-02-2019,45.9411,45.9906,45.6108,45.6686,1011866
28-02-2019,45.4292,45.9328,45.3301,45.875,1324457
01-03-2019,45.9494,46.0154,45.0659,45.1072,1288953
04-03-2019,45.2228,45.4457,45.0081,45.1567,837680
05-03-2019,45.1732,45.1732,44.5952,44.8017,915025
06-03-2019,44.6943,44.909,44.587,44.6613,928569
07-03-2019,44.6695,44.7686,44.2319,44.3723,1207208
08-03-2019,44.265,44.6943,43.9925,44.5044,974845
11-03-2019,44.5292,44.8347,44.3888,44.7191,867710
12-03-2019,44.8925,45.0494,44.6489,45.0081,652808
13-03-2019,45.198,45.3053,45.0494,45.2145,550949
14-03-2019,45.1567,45.2475,44.942,45.1154,559178
15-03-2019,45.2558,45.4374,45.1072,45.231,651261
18-03-2019,45.2475,45.5778,45.1484,45.5695,571033
19-03-2019,45.8338,46.0154,45.4952,45.5943,609377
20-03-2019,45.3961,45.52,45.1608,45.2228,826096
21-03-2019,44.975,45.0354,44.5736,44.7356,743424
22-03-2019,44.4053,44.4507,43.8026,43.8769,1219565
25-03-2019,43.8191,43.9264,43.3484,43.5962,853509
26-03-2019,43.9017,43.976,43.4558,43.5631,2901483
27-03-2019,43.4228,43.7035,43.3402,43.5714,2832078
28-03-2019,43.4888,43.8851,43.4888,43.8108,803944
29-03-2019,44.2154,44.2484,43.9165,43.9925,1079103
01-04-2019,44.3625,44.6968,44.1787,44.6049,856682
02-04-2019,44.5882,44.655,44.187,44.3291,834002
03-04-2019,44.4963,44.7052,44.396,44.4963,620068
04-04-2019,44.4963,44.7888,44.421,44.63,940981
05-04-2019,44.5965,44.6383,44.3876,44.5464,424514
08-04-2019,44.5715,44.7219,44.4879,44.7136,905072
09-04-2019,44.5965,44.5965,44.304,44.5715,471443
10-04-2019,44.5798,44.8306,44.396,44.7386,476436
11-04-2019,44.5965,44.8807,44.5464,44.5798,485477
12-04-2019,44.9058,45.1398,44.7888,44.981,634809
15-04-2019,45.0061,45.1858,44.9183,45.0228,413240
16-04-2019,45.0813,45.5159,45.0311,45.3989,497336
17-04-2019,45.658,45.683,45.4323,45.6162,455827
18-04-2019,45.5159,45.7583,45.5159,45.683,370710
22-04-2019,45.5827,45.7081,45.3905,45.449,1425526
23-04-2019,45.2735,45.5326,45.1147,45.5159,604591
24-04-2019,45.2986,45.3404,44.9392,44.9392,633205
25-04-2019,44.9141,45.2944,44.8222,45.1732,436080
26-04-2019,45.215,45.5995,45.1481,45.5911,527865
29-04-2019,45.5744,45.9505,45.566,45.7332,460283
30-04-2019,45.7499,46.1009,45.6663,46.0173,415511
01-05-2019,46.0341,46.243,45.7332,45.7666,419448
02-05-2019,45.7917,45.8502,45.3404,45.3571,572780
03-05-2019,45.5159,45.8669,45.4657,45.6914,389595
06-05-2019,45.2067,45.6998,44.9225,45.6747,419914
07-05-2019,45.1732,45.2693,44.9852,45.215,500213
08-05-2019,45.1983,45.2401,44.9058,44.9058,435685
09-05-2019,44.7052,44.8807,44.513,44.7721,562861
10-05-2019,44.8723,45.1649,44.4085,45.0896,565796
13-05-2019,44.6968,44.6968,43.9363,44.1034,611281
14-05-2019,44.187,44.4963,44.0784,44.2873,515671
15-05-2019,44.0449,44.3602,43.9948,44.2288,439880
16-05-2019,44.4127,44.5882,44.2873,44.396,493868
17-05-2019,44.0867,44.4043,44.0366,44.3625,341565
20-05-2019,44.0867,44.63,44.0867,44.4377,1414869
21-05-2019,44.513,44.8556,44.4712,44.7219,508572
22-05-2019,44.6634,44.6718,44.1536,44.396,509365
23-05-2019,43.9363,43.9446,43.4348,43.7023,766031
24-05-2019,43.8778,44.0282,43.836,43.9112,889249
28-05-2019,43.3847,43.5769,42.6074,43.3095,1258813
29-05-2019,43.1841,43.4098,42.8999,43.134,729555
30-05-2019,43.2259,43.2342,42.6826,42.9501,760206
31-05-2019,42.5322,42.6492,42.2648,42.3734,774661
03-06-2019,42.5071,43.1507,42.457,42.9417,909910
04-06-2019,43.3011,43.7551,43.0922,43.6772,1242983
05-06-2019,43.836,43.836,43.3554,43.5435,453993
06-06-2019,43.6605,43.8945,43.5769,43.7691,475804
07-06-2019,44.0951,44.4879,44.0366,44.2873,1016870
10-06-2019,44.4795,44.6592,44.4628,44.5213,436433
11-06-2019,44.6634,44.747,44.3625,44.4963,2453436
12-06-2019,44.4461,44.5297,43.9864,44.0031,508957
13-06-2019,44.0784,44.1954,43.9196,44.0617,525875
14-06-2019,43.9029,44.1285,43.7357,43.9948,399957
17-06-2019,44.0199,44.2706,43.9614,43.9864,331745
18-06-2019,44.2037,44.5715,44.1703,44.4461,429045
19-06-2019,44.6049,44.864,44.6049,44.8306,504021
20-06-2019,45.2484,45.4407,44.9559,45.2317,471727
21-06-2019,45.1816,45.3446,45.0813,45.2067,525200
24-06-2019,45.2986,45.566,45.2484,45.424,473941
25-06-2019,45.541,45.541,45.1983,45.2484,485304
26-06-2019,45.3404,45.5827,45.1899,45.3153,509045
27-06-2019,45.424,45.6245,45.2401,45.2735,1510475
28-06-2019,45.9353,46.0622,45.8338,45.9776,808526
01-07-2019,46.4085,46.6311,46.0488,46.0745,409284
02-07-2019,46.2543,46.3485,46.0488,46.22,1449714
03-07-2019,46.3228,46.6825,46.31,46.6397,1116591
05-07-2019,46.6054,46.6311,46.2843,46.477,443574
08-07-2019,46.3399,46.4341,46.2457,46.3742,401666
09-07-2019,46.1515,46.4941,46.0745,46.3228,556019
10-07-2019,46.5198,46.7425,46.2372,46.3228,558881
11-07-2019,46.4855,46.4855,46.0488,46.2629,610129
12-07-2019,46.2286,46.2543,45.8004,45.8347,499553
15-07-2019,45.9117,45.9974,45.4364,45.5949,451708
16-07-2019,45.6463,45.7918,45.4236,45.4578,619930
17-07-2019,45.5178,45.5692,45.2908,45.3123,485177
18-07-2019,45.2352,45.6206,45.2095,45.5949,545261
19-07-2019,45.6034,45.7191,45.3979,45.4921,387610
22-07-2019,45.4921,45.5007,45.1239,45.3037,1363165
23-07-2019,45.3294,45.5777,45.278,45.4835,589861
24-07-2019,45.3893,45.9032,45.3808,45.7918,503333
25-07-2019,45.8775,46.3913,45.6463,46.0145,1004024
26-07-2019,46.1344,46.1772,45.8347,45.886,330574
29-07-2019,46.0488,46.1258,45.8689,46.0488,576557
30-07-2019,45.8261,45.8946,45.5863,45.886,476503
31-07-2019,45.9203,46.1087,45.4578,45.7148,644455
01-08-2019,45.6291,46.0316,45.2309,45.3722,646070
02-08-2019,45.2095,45.2609,44.7213,45.0553,642663
05-08-2019,44.5586,44.6288,44.1646,44.3017,1458225
06-08-2019,44.5244,44.6014,43.7964,44.1732,911768
07-08-2019,43.7022,44.5672,43.5309,44.4216,1336092
08-08-2019,44.5672,45.1838,44.3959,44.9183,554059
09-08-2019,44.9098,45.2181,44.67,44.807,561751
12-08-2019,44.4987,44.6956,44.3017,44.4987,432237
13-08-2019,44.336,44.9868,44.276,44.7128,1201280
14-08-2019,44.2161,44.2161,43.411,43.5395,861290
15-08-2019,43.4881,43.5995,43.1284,43.3425,607319
16-08-2019,43.6765,43.9677,43.5823,43.6937,782433
19-08-2019,43.8906,44.139,43.7108,44.0191,452298
20-08-2019,43.8992,44.0362,43.5823,43.6937,604290
21-08-2019,44.0448,44.1133,43.7879,43.9078,475644
22-08-2019,44.0448,44.2846,43.9335,44.1304,960425
23-08-2019,43.9335,44.2931,43.5052,43.6594,773212
26-08-2019,43.7622,44.0533,43.668,43.8735,796430
27-08-2019,44.1219,44.7213,43.8992,44.0876,1076605
28-08-2019,44.0191,44.8669,43.9934,44.6528,1093205
29-08-2019,44.9098,45.6206,44.8669,45.3893,1116601
30-08-2019,45.612,45.886,45.4322,45.5692,915829
03-09-2019,45.1153,45.3808,44.9269,45.1752,1811616
04-09-2019,45.5521,46.083,45.4835,45.9974,644492
05-09-2019,46.2629,46.5113,46.2457,46.3399,682139
06-09-2019,46.4513,46.9651,46.4085,46.8281,552137
09-09-2019,47.0165,47.3077,46.9994,47.222,1256838
10-09-2019,47.2991,47.6074,47.1878,47.479,822842
11-09-2019,47.6074,48.0527,47.4875,47.8386,793826
12-09-2019,47.6502,48.3525,47.6245,48.1298,686388
13-09-2019,48.3182,48.6608,48.2155,48.3611,1267868
16-09-2019,48.0784,48.2925,47.8386,48.147,674796
17-09-2019,48.0442,48.4895,47.9157,48.3439,492493
18-09-2019,48.2412,48.4467,47.9757,48.1127,708472
19-09-2019,48.0613,48.3996,48.0613,48.1384,615999
20-09-2019,48.224,48.5323,48.087,48.1812,885290
23-09-2019,48.1726,48.3525,48.0185,48.3439,924535
24-09-2019,48.4809,48.9434,48.4724,48.6694,1324959
25-09-2019,48.6008,48.9434,48.4809,48.8578,2763049
26-09-2019,49.1233,49.2603,48.9948,49.1147,1163490
27-09-2019,49.3031,49.4316,49.0933,49.2945,3050435
30-09-2019,49.3986,49.5459,49.2426,49.2686,725066
01-10-2019,49.1993,49.3726,48.6359,48.8873,851418
02-10-2019,48.5146,48.5666,47.8993,48.0813,2319021
03-10-2019,48.012,48.012,47.5093,47.9773,783461
04-10-2019,48.0553,48.4063,47.908,48.3759,817343
07-10-2019,48.3413,48.4886,48.2633,48.3413,418485
08-10-2019,48.2113,48.3759,48.012,48.2459,826966
09-10-2019,48.4973,48.7573,48.3586,48.6186,1522960
10-10-2019,48.6793,49.0346,48.6273,48.7573,640523
11-10-2019,49.1386,49.6932,49.1386,49.3379,706355
14-10-2019,49.2253,49.3206,48.9826,49.2599,778528
15-10-2019,49.4332,49.9706,49.3292,49.6066,611968
16-10-2019,49.6152,49.9099,49.6152,49.7192,457303
17-10-2019,49.9272,49.9532,49.6759,49.7712,475844
18-10-2019,49.8406,49.9879,49.7886,49.9099,542895
21-10-2019,50.0659,50.1266,49.5372,49.8839,1482678
22-10-2019,49.9012,49.9836,49.6759,49.7539,752463
23-10-2019,49.8319,49.8666,49.6499,49.7712,697328
24-10-2019,49.8492,49.8492,49.5719,49.7886,466389
25-10-2019,49.7106,49.9706,49.6412,49.8666,500685
28-10-2019,50.0052,50.1006,49.7626,49.8839,541063
29-10-2019,49.7886,50.1526,49.7539,49.9792,508100
30-10-2019,49.9879,49.9879,49.6412,49.8579,433132
31-10-2019,49.7366,49.9446,49.5372,49.6846,561585
01-11-2019,49.8232,50.0312,49.7019,49.9879,411912
04-11-2019,50.0832,50.3606,50.0832,50.2652,2226567
05-11-2019,50.3086,50.4386,50.1872,50.2479,535171
06-11-2019,50.1786,50.3172,50.0572,50.2652,473476
07-11-2019,50.3259,50.4559,50.2132,50.2566,385849
08-11-2019,50.0139,50.1482,49.9099,50.1179,390438
11-11-2019,50.0139,50.243,49.9792,50.1439,1184167
12-11-2019,50.1266,50.2739,49.9272,50.0052,320753
13-11-2019,49.8232,49.9359,49.6846,49.7539,1005394
